condition,image_id,G_actual,G_neutral,Delta_G,cosine_sim
A,12192,1.6896256056497805e-05,1.6915852029342204e-05,-1.9595972844399512e-08,0.9999974370002747
A,12193,2.6541003990132594e-06,1.3953164852864575e-05,-1.1299064453851315e-05,0.9976394176483154
A,12318,0.010152877308428288,1.0908119918440207e-07,0.010152768227229103,0.8696029186248779
A,12327,2.0098003005841747e-05,2.1915255274507217e-05,-1.8172522686654702e-06,0.9996993541717529
A,12300,0.00041784122004173696,7.230672594005227e-08,0.0004177689133157969,0.7055182456970215
A,12271,0.000856870086863637,2.6733866675954232e-08,0.000856843352996961,0.8744619488716125
A,12525,6.745615974068642e-05,2.2369004000211135e-05,4.508715574047528e-05,0.9996943473815918
A,12445,8.671815265870464e-08,3.234282303310465e-06,-3.1475641506517604e-06,0.8482916355133057
A,12478,2.8946460588485934e-06,0.0002885613066609949,-0.0002856666606021463,0.948310375213623
A,12467,1.9737813161668782e-08,4.390522008179687e-06,-4.370784195018018e-06,0.5988882780075073
A,12590,2.679331601029844e-06,1.8466145775164478e-05,-1.5786814174134634e-05,0.9972519278526306
A,12619,0.0005613379762507975,0.0008019583183340728,-0.00024062034208327532,0.9999755620956421
A,12608,5.39696929990896e-06,1.734078978188336e-05,-1.1943820481974399e-05,0.9934890270233154
A,12634,2.7329738259140868e-06,0.00020902970572933555,-0.00020629673190342146,0.969579815864563
A,12841,0.00015338609227910638,0.00012137373414589092,3.201235813321546e-05,0.9999629855155945
A,12777,6.320347893051803e-05,0.001795428921468556,-0.001732225442538038,0.9957717657089233
A,12684,2.0507844965322874e-05,0.0001586475846124813,-0.00013813973964715842,0.999994695186615
A,12690,1.1222852663195226e-05,0.00023917485668789595,-0.00022795200402470073,0.9922588467597961
A,12881,1.5335248235714971e-06,3.80620222131256e-05,-3.6528497389554104e-05,0.7051603198051453
A,12948,4.4479238567873836e-05,0.0002930395712610334,-0.0002485603326931596,0.998849630355835
A,13100,0.00030862935818731785,3.6299188650446013e-06,0.00030499943932227325,0.995039701461792
A,13062,0.002823025453835726,1.3191005564294755e-05,0.002809834448271431,0.9909883737564087
A,13454,5.408580364019144e-06,0.0001682480942690745,-0.00016283951390505536,0.9979774355888367
A,13348,3.396449392312206e-05,0.0003585062804631889,-0.0003245417865400668,0.9992085099220276
A,13472,4.192465439700754e-06,2.1818493678438244e-06,2.01061607185693e-06,0.9999625086784363
A,13455,9.229730494553223e-05,0.0006312464247457683,-0.0005389491198002361,0.9988786578178406
A,13503,7.946964615257457e-05,0.00017743151693139225,-9.796187077881768e-05,0.9999962449073792
A,13530,8.807569429336581e-07,8.040285320021212e-05,-7.952209625727846e-05,0.6714975237846375
A,13540,0.00011300766345812008,0.00015258090570569038,-3.9573242247570306e-05,0.9999778270721436
A,13508,0.0002261000918224454,0.0005212223040871322,-0.0002951222122646868,0.9995906352996826
A,13611,1.4035813364898786e-05,9.993033017963171e-05,-8.589451681473292e-05,0.9893863201141357
A,13788,5.4192655625229236e-06,2.4622660930617712e-05,-1.920339536809479e-05,0.999801516532898
A,13861,5.412458995124325e-05,6.634059445786988e-06,4.749053050545626e-05,0.9889729619026184
A,13656,6.225567403816967e-07,0.00010964487591991201,-0.00010902231917953031,0.6067771315574646
