condition,epoch,image_id,true_label,assigned_label,raw_norm,q_actual,q_neutral,G_actual,G_neutral,Delta_G,p_assigned_actual,p_assigned_neutral,loss_actual,loss_neutral,target_logit_actual,target_logit_neutral,cosine_sim
A,40,1686,9,9,19.35934829711914,-0.3303591012954712,0.0,2.2543934392160736e-05,0.00026919174706563354,-0.0002466478126734728,0.9999991655349731,0.9999884366989136,8.344646857949556e-07,1.156323378381785e-05,25.62801742553711,23.0709285736084,0.9978418350219727
A,40,1688,9,9,20.821598052978516,-0.09939200431108475,0.0,0.00011426505807321519,0.0002938017132692039,-0.00017953665519598871,0.9999960660934448,0.9999897480010986,3.933898824470816e-06,1.0251946150674485e-05,26.314128875732422,25.349401473999023,0.9995671510696411
A,40,1743,9,9,20.782129287719727,-0.10562622547149658,0.0,2.5068156901397742e-05,6.705330451950431e-05,-4.1985147618106566e-05,0.9999990463256836,0.9999972581863403,9.536738616588991e-07,2.7418097943154862e-06,25.628204345703125,24.643465042114258,0.9999995231628418
A,40,1706,9,9,25.879207611083984,0.6994737982749939,0.0,0.02067180909216404,2.0512759419943905e-06,0.020669757816222045,0.9984642267227173,0.9999998807907104,0.0015369757311418653,1.1920928244535389e-07,16.914348602294922,26.643789291381836,0.9249544739723206
A,40,1957,10,10,19.316984176635742,-0.3370506465435028,0.0,3.4118416806450114e-05,0.00044001027708873153,-0.0004058918602822814,0.9999985694885254,0.9999802112579346,1.4305104514278355e-06,1.9788545614574105e-05,26.148860931396484,23.4858341217041,0.9962468147277832
A,40,1839,10,10,22.783605575561523,0.2105134278535843,0.0,0.0003085876815021038,3.4230110031785443e-05,0.00027435757147031836,0.9999861717224121,0.9999985694885254,1.3828182090946939e-05,1.4305104514278355e-06,22.41849136352539,24.65239906311035,0.9991788268089294
A,40,2108,10,10,20.36643409729004,-0.17128662765026093,0.0,7.340448064496741e-05,0.00036205362994223833,-0.0002886491492972709,0.9999973773956299,0.9999866485595703,2.622600959512056e-06,1.3351351299206726e-05,27.090818405151367,25.46672248840332,0.9992517828941345
A,40,2095,10,10,20.390701293945312,-0.1674535572528839,0.0,3.248445409553824e-06,2.22809576371219e-05,-1.9032512227568077e-05,0.9999998807907104,0.9999988079071045,1.1920928244535389e-07,1.1920922133867862e-06,26.37986946105957,24.84257698059082,0.9450498819351196
A,40,2203,11,11,19.106618881225586,-0.370278537273407,0.0,2.1368956026890373e-07,1.0018236935138702e-05,-9.804547374869799e-06,1.0,0.9999996423721313,-0.0,3.576278118089249e-07,31.50537872314453,27.813756942749023,0.855545163154602
A,40,2247,11,11,22.652360916137695,0.18978290259838104,0.0,7.763773464830592e-05,1.0611384823278058e-05,6.702634982502786e-05,0.9999964237213135,0.9999995231628418,3.576272320060525e-06,4.768370445162873e-07,23.259845733642578,25.325090408325195,0.9968767166137695
A,40,2182,11,11,18.611257553100586,-0.4485224783420563,0.0,2.690541691663384e-07,1.6905971278902143e-05,-1.6636917109735805e-05,1.0,0.9999992847442627,-0.0,7.152555099310121e-07,29.637699127197266,25.787824630737305,0.7477872371673584
A,40,2225,11,11,21.16203498840332,-0.04561889171600342,0.0,1.1905940482392907e-06,2.6409652491565794e-06,-1.4503712009172887e-06,1.0,0.9999998807907104,-0.0,1.1920928244535389e-07,28.08283805847168,27.573728561401367,0.7500746250152588
A,40,2276,12,12,21.94998550415039,0.07884044200181961,0.0,0.0004473472654353827,0.00019833838450722396,0.00024900888092815876,0.999981164932251,0.999991774559021,1.883488948806189e-05,8.22540732769994e-06,24.736061096191406,25.567670822143555,0.999742329120636
A,40,2282,12,12,19.889141082763672,-0.24667660892009735,0.0,1.0721651051426306e-06,1.8723640096141025e-05,-1.7651474990998395e-05,1.0,0.9999991655349731,-0.0,8.344646857949556e-07,30.17823028564453,27.623491287231445,0.7368522882461548
